Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Alkalinity (mM),pH (none),Timestamp (UTC),Text ID
374,U1521,A,1,R,3,90.0,100.0,3.4,3.500,3.400,3.500,3.786,7.648,2018-01-16 16:27:19,LIQ9281651
374,U1521,A,4,R,2,140.0,150.0,29.5,29.600,29.500,29.600,6.419,7.822,2018-01-16 22:31:53,LIQ9282441
374,U1521,A,5,R,1,140.0,150.0,37.6,37.700,37.600,37.700,7.044,7.826,2018-01-16 23:41:34,LIQ9282771
374,U1521,A,9,R,1,134.0,144.0,75.94,76.040,75.940,76.040,8.279,7.792,2018-01-17 03:12:28,LIQ9283491
374,U1521,A,12,R,3,141.0,151.0,107.2,107.300,107.200,107.300,7.464,7.752,2018-01-17 05:02:58,LIQ9284251
374,U1521,A,13,R,3,141.0,151.0,117.01,117.110,117.010,117.110,7.541,7.727,2018-01-17 06:44:08,LIQ9284631
374,U1521,A,16,R,2,108.0,118.0,144,144.100,144.000,144.100,7.144,7.632,2018-01-17 08:42:18,LIQ9285611
374,U1521,A,18,R,4,66.0,76.0,164.79,164.890,164.790,164.890,6.781,7.737,2018-01-17 11:18:08,LIQ9285991
374,U1521,A,20,R,6,141.0,151.0,187.83,187.930,187.830,187.930,7.432,7.574,2018-01-17 11:54:03,LIQ9286681
374,U1521,A,22,R,2,127.0,137.0,201.88,201.980,201.880,201.980,6.284,7.694,2018-01-17 12:39:38,LIQ9287481
374,U1521,A,24,R,1,128.0,138.0,219.88,219.980,219.880,219.980,5.879,7.817,2018-01-17 13:39:03,LIQ9288361
374,U1521,A,27,R,1,130.0,140.0,248.4,248.500,248.400,248.500,5.446,7.799,2018-01-17 17:16:53,LIQ9289731
374,U1521,A,30,R,3,132.0,142.0,279.81,279.910,279.810,279.910,5.168,7.759,2018-01-17 18:46:28,LIQ9290341
