Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Comments
374,U1524,A,1,H,1,0.0,0.0,0,0.050,0.000,0.050,36,"ship split, untreated"
374,U1524,A,1,H,1,141.0,146.0,1.41,1.460,1.403,1.453,35,"ship split, untreated"
374,U1524,A,2,H,6,145.0,150.0,12.95,13.000,12.659,12.707,35,"ship split, untreated"
374,U1524,A,3,H,6,145.0,150.0,22.45,22.500,22.079,22.127,35,"ship split, untreated"
374,U1524,A,4,H,3,145.0,150.0,27.45,27.500,27.450,27.500,35,"ship split, untreated"
374,U1524,A,5,H,5,145.0,150.0,39.95,40.000,39.556,39.603,35,"ship split, untreated"
374,U1524,A,6,H,6,145.0,150.0,50.63,50.680,50.158,50.205,35,"ship split, untreated"
374,U1524,A,7,H,6,145.0,150.0,60.28,60.330,59.969,60.017,34.5,"ship split, untreated"
374,U1524,A,8,H,3,145.0,150.0,65.45,65.500,65.450,65.500,34.5,"ship split, untreated"
374,U1524,A,9,H,6,115.0,120.0,79.18,79.230,78.713,78.760,34,"ship split, untreated"
374,U1524,A,10,H,6,145.0,150.0,89.02,89.070,88.561,88.608,33,"ship split, untreated"
374,U1524,A,11,H,6,146.0,151.0,98.54,98.590,97.978,98.025,33,"ship split, untreated"
374,U1524,A,12,H,6,140.0,145.0,107.74,107.790,107.204,107.251,34,"ship split, untreated"
374,U1524,A,15,H,6,142.0,147.0,136.33,136.380,135.740,135.787,33,"ship split, untreated"
374,U1524,A,18,H,2,142.0,152.0,158.89,158.940,158.825,158.874,33,"ship split, untreated"
374,U1524,A,21,H,6,143.0,144.0,188.53,188.580,188.102,188.150,33,"ship split, untreated"
374,U1524,A,24,H,6,132.0,142.0,216.69,216.740,216.484,216.533,32,"ship split, untreated"
374,U1524,A,27,H,6,131.0,141.0,245.38,245.430,244.863,244.910,33,"ship split, untreated"
