hole,lat_deg,lat_min,lat_sec,lat_dir,lon_deg,lon_min,lon_sec,lon_dir,water_depth(m)
U1521A,75,41,0351,S,179,40,3108,W,562.18
U1522A,76,33,2262,S,174,45,4652,W,557.6
U1523A,74,09,0172,S,176,47,7067,W,828.02
U1523B,74,09,0179,S,176,47,6660,W,827.99
U1523C,74,09,0288,S,176,47,6680,W,827.99
U1523D,74,09,0288,S,176,47,7087,W,827.97
U1523E,74,09,0290,S,176,47,7491,W,827.88
U1524A,74,13,0427,S,173,38,0185,W,2394.39
U1524B,74,13,0440,S,173,37,9834,W,2394.16
U1524C,74,13,0537,S,173,37,9338,W,2394.34
U1525A,75,00,0603,S,173,55,2028,W,1775.74
