Exp,Site,Hole,Core,Type,Sect,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Salinity,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1532,G,2,R,4,131.0,146.0,378.13,378.230,378.130,378.230,34,2019-03-09 12:30:15,LIQ9741511,113332511,shipboard untreated,,
379,U1532,G,4,R,5,128.0,143.0,398.7,398.800,398.700,398.800,33,2019-03-09 12:30:17,LIQ9741981,113332521,shipboard untreated,,
379,U1532,G,5,R,6,73.0,103.0,408.94,409.040,408.940,409.040,34,2019-03-09 12:30:18,LIQ9742471,113332531,shipboard untreated,,
379,U1532,G,8,R,4,115.0,145.0,435.43,435.730,435.430,435.730,34,2019-03-09 12:30:20,LIQ9743581,113332541,shipboard untreated,,
379,U1532,G,11,R,4,106.0,136.0,464.17,464.470,464.170,464.470,35,2019-03-09 12:30:21,LIQ9744931,113332551,shipboard untreated,,
379,U1532,G,14,R,5,59.0,86.0,493.88,494.150,493.880,494.150,34,2019-03-09 12:30:23,LIQ9746381,113332561,shipboard untreated,,
379,U1532,G,17,R,4,123.0,150.0,521.8,522.070,521.800,522.070,34,2019-03-09 12:30:24,LIQ9748421,113332571,shipboard untreated,,
379,U1532,G,20,R,3,116.0,146.0,548.86,549.160,548.860,549.160,34,2019-03-09 12:30:26,LIQ9749921,113332581,shipboard untreated,,
379,U1532,G,23,R,3,117.0,147.0,577.77,578.070,577.770,578.070,34,2019-03-09 12:30:27,LIQ9751091,113332591,shipboard untreated,,
379,U1532,G,26,R,4,115.0,145.0,608.03,608.130,608.030,608.130,33,2019-03-09 12:30:29,LIQ9752661,113332601,shipboard untreated,,
379,U1532,G,29,R,3,117.0,147.0,635.17,635.270,635.170,635.270,33,2019-03-09 12:30:31,LIQ9753951,113332611,shipboard untreated,,
379,U1532,G,32,R,3,116.0,146.0,663.86,663.960,663.860,663.960,33,2019-03-09 12:30:32,LIQ9755361,113332621,shipboard untreated,,
379,U1532,G,35,R,3,116.0,146.0,692.75,693.050,692.750,693.050,32.5,2019-03-09 12:30:34,LIQ9756901,113332631,shipboard untreated,,
379,U1532,G,39,R,3,112.0,142.0,721.41,721.710,721.410,721.710,32,2019-03-09 12:30:35,LIQ9759151,113332641,shipboard untreated,,
379,U1532,G,43,R,3,115.0,145.0,759.76,760.060,759.760,760.060,33,2019-03-09 12:30:37,LIQ9760801,113332651,shipboard untreated,,
