Exp,Site,Hole,Core,Type,Depth CSF-A (m),Depth CSF-B (m),Depth CCSF-379-U1533-ABCD-20191030 (m),Hx (nT),Hv (nT),Azimuth (deg),Dip (deg),Tool acceleration (g),Magnetic dip (deg),Total magnetic field (nT),Magnetic tool face (deg),Temperature (deg C),Tool ID,Excel filename,Timestamp (UTC),Text ID,Test No.,Sample comments,Test comments,Result comments
379,U1533,B,2,H,25.5,25.500,35.240,-15541,-12794,97.7,-89.7,,64.5,46529,140.8,0.2,Icefield 2043,379-ORIENT-48523941-Exp379_U1533B_1.xlsx,2019-03-09 12:21:12,CORE9764571,113332211,,,
379,U1533,B,3,H,35,35.000,47.170,-19138,-5734,117.3,-89.5,,64.7,46459,163.4,-0.3,Icefield 2043,379-ORIENT-48523941-Exp379_U1533B_1.xlsx,2019-03-09 12:21:16,CORE9765031,113332221,,,
379,U1533,B,4,H,44.5,44.500,44.500,-8450,-17410,90,-89.3,,65.7,47383,116.1,1.1,Icefield 2007,379-ORIENT-48523221-Exp379_U1533B_2.xlsx,2019-03-09 12:03:55,CORE9765581,113332001,,,
379,U1533,B,5,H,54,54.000,54.000,-19951,6395,105.3,-89.2,,63.4,47326,198.8,0,Icefield 2007,379-ORIENT-48523221-Exp379_U1533B_2.xlsx,2019-03-09 12:04:00,CORE9766351,113332011,,,
379,U1533,B,6,H,63.5,63.500,63.500,17290,-5960,144,-89.8,,66.6,46191,19.3,0,Icefield 2007,379-ORIENT-48523221-Exp379_U1533B_2.xlsx,2019-03-09 12:04:05,CORE9766931,113332021,,,
379,U1533,B,7,H,73,73.000,73.000,18282,1784,177.3,-88.8,,66.7,46386,353.5,0,Icefield 2007,379-ORIENT-48523221-Exp379_U1533B_2.xlsx,2019-03-09 12:04:09,CORE9767511,113332031,,,Low standpipe pressures. unsure of orientation time
379,U1533,B,8,H,82.5,82.500,82.500,18151,11942,35.5,-89.4,,64.4,49390,327.2,-0.9,Icefield 2052,379-ORIENT-48523141-Exp379_U1533B_3.xlsx,2019-03-09 12:06:45,CORE9768391,113332041,,,
379,U1533,B,9,H,92,92.000,92.000,19250,1701,134.8,-88.7,,60.3,51233,354.8,-1.2,Icefield 2052,379-ORIENT-48523141-Exp379_U1533B_3.xlsx,2019-03-09 12:06:50,CORE9769131,113332051,,,
379,U1533,B,10,H,101.5,101.500,101.500,7015,20629,153.6,-89.3,,63.4,49819,289.3,-1.3,Icefield 2052,379-ORIENT-48523141-Exp379_U1533B_3.xlsx,2019-03-09 12:06:54,CORE9769671,113332061,,,
379,U1533,B,11,H,111,111.000,111.000,4610,-18266,141.0,-88.1,,65.9,47961,78.3,-1.2,Icefield 2052,379-ORIENT-48523141-Exp379_U1533B_3.xlsx,2019-03-09 12:06:58,CORE9770401,113332071,,,Removed outliers
379,U1533,B,12,H,120.5,120.500,120.500,-18112,994,179.8,-88.3,,60.6,47613,187.0,-1.3,Icefield 2052,379-ORIENT-48523141-Exp379_U1533B_3.xlsx,2019-03-09 12:07:02,CORE9771031,113332081,,,
379,U1533,B,13,H,130,130.000,130.000,-10454,-16046,141.5,-88.3,,64.6,46894,125.5,1.1,Icefield 2043,379-ORIENT-48523181-Exp379_U1533B_4.xlsx,2019-03-09 12:10:25,CORE9772131,113332091,,,
379,U1533,B,14,H,139.5,139.500,139.500,307,17962,155.9,-88.9,,66.3,46373,271.9,-0.3,Icefield 2043,379-ORIENT-48523181-Exp379_U1533B_4.xlsx,2019-03-09 12:10:29,CORE9772601,113332101,,,
379,U1533,B,15,H,149,149.000,149.000,18668,-682,139.4,-88.8,,65.5,46675,3.7,-0.3,Icefield 2043,379-ORIENT-48523181-Exp379_U1533B_4.xlsx,2019-03-09 12:10:33,CORE9773191,113332111,,,
379,U1533,B,16,H,158.5,158.500,158.500,10785,-15724,117.7,-88.9,,65.4,46811,57.2,-0.3,Icefield 2043,379-ORIENT-48523181-Exp379_U1533B_4.xlsx,2019-03-09 12:10:37,CORE9773741,113332121,,,Removed outliers
379,U1533,B,17,H,168,168.000,168.000,5242,-18537,139.4,-88.6,,64.6,46713,75.9,-0.3,Icefield 2043,379-ORIENT-48523181-Exp379_U1533B_4.xlsx,2019-03-09 12:10:40,CORE9774371,113332131,,,
379,U1533,B,18,H,177.5,177.500,177.500,16206,-9970,135.6,-88.9,,65.1,46651,33.3,-0.3,Icefield 2043,379-ORIENT-48523181-Exp379_U1533B_4.xlsx,2019-03-09 12:10:45,CORE9774801,113332141,,,Removed outliers
